Day,Min(ms),Max(ms),Avg(ms),Median(ms),P95(ms),StdDev(ms),Part1_Answer,Part2_Answer
1,60,80,70,71,76,3.16,1145,6561
2,202,227,211,211,217,3.87,54234399924,70187097315
3,61,90,74,76,83,5.83,17330,171518260283767
4,65,94,77,76,90,5.47,1553,8442
5,57,85,70,73,76,5.83,694,352716206375547
6,55,78,69,71,75,5.00,5552221122013,11371597126232
7,72,88,78,78,84,2.64,1570,15118009521693
8,92,116,108,108,113,3.60,96672,22517595
9,104,136,115,113,129,6.63,4781546175,1573359081
10,605,865,696,718,749,53.35,375,15377
11,61,123,76,77,84,6.63,674,438314708837664
12,320,370,328,327,346,7.28,577,0
